,Date,Year,Month,Day,Hour,Minutes,SourceId,ChannelId,Unit,TotalDemand,DeltaValue,SourceTag,ChannelTag,Label,Name,Height,Area,WindSpeed,Temperature,SolarRad,ElectricityPrice,supply,renewables
0,16/02/2018 01:00,2018,2,16,1,0,5,7,W,15070.9951,,SC05,P-AM2000_008 (018SC05HKLP),0,Fontys H3,0,0,30,2,0,0.03023,,
1,16/02/2018 01:00,2018,2,16,1,0,7,7,W,54868.0039,,SC07,P-AM2000_009 (022SC07HLKP),0,Energiestation,0,0,30,2,0,0.03023,,
2,16/02/2018 01:00,2018,2,16,1,0,8,7,W,19182.5176,,SC08,P-AM2000_011 (023SC08HLKP),0,MMP,8.21,2451,30,2,0,0.03023,,
3,16/02/2018 01:00,2018,2,16,1,0,15,7,W,9288.123,,SC15,P-A230_214 (056SC15HKLP),0,BBC,0,0,30,2,0,0.03023,,
4,16/02/2018 01:00,2018,2,16,1,0,21,7,W,4849.7407,,SC21,P-A230_223 (081SC21HLP),0,Gemini Zuid ,19.77,4350,30,2,0,0.03023,,
5,16/02/2018 01:00,2018,2,16,1,0,24,7,W,16436.5879,,SC24,P-AM2000_049 (8975SC24HLKP),0,Techniekgebouw,0,0,30,2,0,0.03023,,
6,16/02/2018 01:00,2018,2,16,1,0,1,7,W,83893.3281,,SC01,P-AM2000_001 (007SC01HKLP),SSC,Sportcentrum,12,10560,30,2,0,0.03023,,
7,16/02/2018 01:00,2018,2,16,1,0,2,7,W,2920.9688,,SC02,P-AM2000_003 (012SC02HLP),0,Traverse ,14.2,1995,30,2,0,0.03023,,
8,16/02/2018 01:00,2018,2,16,1,0,3,7,W,21200.2988,,SC03,P-A230_205 (013SC03HKL1P),AUD,Auditorium,17.035,5525,30,2,0,0.03023,,
9,16/02/2018 01:00,2018,2,16,1,0,4,7,W,12928.2012,,SC04,P-AM2000_005 (014SC04HRKP),0,IPO,10.45,3080,30,2,0,0.03023,,
10,16/02/2018 01:00,2018,2,16,1,0,10,7,W,23001.6309,,SC10,P-A230_209 (044SC10HLP),MET,Metaforum,35.17,11550,30,2,0,0.03023,,
11,16/02/2018 01:00,2018,2,16,1,0,11,7,W,30082.2969,,SC11,P-AM2000_015 (051SC11HLKP),VER,Vertigo,53.424,3744,30,2,0,0.03023,,
12,16/02/2018 01:00,2018,2,16,1,0,12,7,W,21171.4746,,SC12,P-AM2000_020 (053SC12HLKP),MAT,Matrix,10.9,3320,30,2,0,0.03023,,
13,16/02/2018 01:00,2018,2,16,1,0,16,7,W,291084.875,,SC16,P-AM2000_031 (058SC16HKLP),HEL,Helix ,23.4,3564,30,2,0,0.03023,,
14,16/02/2018 01:00,2018,2,16,1,0,17,7,W,71221.9141,,SC17,P-A230_215 (070SC17HL1/HK1P),FLX,Flux,41.582,5040,30,2,0,0.03023,,
15,16/02/2018 01:00,2018,2,16,1,0,20,7,W,137,,SC20,P-EM2289_108 (076SC20LK22-1P),0,TennisPav ,3.61,660,30,2,0,0.03023,,
16,16/02/2018 01:00,2018,2,16,1,0,22,7,W,9959.2266,,SC22,P-AM2000_040 (082SC22HNLKP),GEM,Gemini Noord ,9.03,6050,30,2,0,0.03023,,
17,16/02/2018 01:00,2018,2,16,1,0,23,7,W,78909.9609,,SC23,P-AM2000_041 (083SC23HOKP),LAP,Laplace ,7.6,4080,30,2,0,0.03023,,
18,16/02/2018 02:00,2018,2,16,2,0,3,7,W,25080.0918,,SC03,P-A230_205 (013SC03HKL1P),AUD,Auditorium,17.035,5525,30,-8,0,0.03023,,
19,16/02/2018 02:00,2018,2,16,2,0,15,7,W,11344.9336,,SC15,P-A230_214 (056SC15HKLP),0,BBC,0,0,30,-8,0,0.03023,,
